distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip
16.6,4.6,50,22.0,25,E10,0,0,0,-3.0,0.7636,1.504
18.3,4.3,46,22.0,16,SP98,0,0,0,6.0,0.7868999999999999,1.805
16.1,4.8,36,22.0,18,SP98,0,1,0,4.0,0.7728,1.773
16.0,4.1,46,22.0,17,SP98,0,0,0,5.0,0.6559999999999999,1.505
16.3,4.0,35,22.0,23,SP98,0,0,0,-1.0,0.652,1.496
16.0,3.7,44,22.0,16,SP98,0,0,0,6.0,0.5920000000000001,1.358
18.3,4.3,46,22.0,23,SP98,0,0,0,-1.0,0.7868999999999999,1.805
4.5,5.2,23,22.0,23,SP98,0,0,1,-1.0,0.234,0.537
17.0,4.2,48,22.0,16,SP98,0,0,0,6.0,0.7140000000000001,1.638
6.1,5.0,35,24.5,18,SP98,0,0,0,6.5,0.305,0.7
6.1,5.0,33,22.0,24,SP98,0,0,1,-2.0,0.305,0.7
17.3,4.2,36,22.0,22,SP98,0,0,0,0.0,0.7266000000000001,1.667
6.0,4.8,27,22.0,17,SP98,0,0,0,5.0,0.288,0.661
16.0,4.1,45,22.0,15,SP98,0,0,0,7.0,0.6559999999999999,1.505
15.4,4.9,55,22.0,18,SP98,0,0,0,4.0,0.7546,1.731
15.4,4.3,39,22.0,23,SP98,0,0,0,-1.0,0.6622,1.519
16.0,3.9,35,22.0,18,SP98,0,0,0,4.0,0.624,1.431
15.4,4.5,52,22.0,26,SP98,0,0,0,-4.0,0.693,1.59
16.6,4.1,48,25.5,30,SP98,1,0,1,-4.5,0.6806,1.561
15.4,5.0,48,25.5,31,SP98,1,0,0,-5.5,0.77,1.766
16.0,4.0,43,22.0,21,SP98,1,0,0,1.0,0.64,1.468
15.4,4.5,42,22.0,30,SP98,0,0,0,-8.0,0.693,1.59
16.0,3.6,43,22.0,19,SP98,0,0,0,3.0,0.5760000000000001,1.321
20.9,4.1,33,22.0,21,SP98,0,0,0,1.0,0.8568999999999999,1.966
32.1,3.9,47,22.0,26,SP98,0,0,0,-4.0,1.2519,2.872
15.3,6.6,16,24.0,27,SP98,1,0,0,-3.0,1.0098,2.316
28.5,4.0,44,25.0,23,SP98,1,0,0,2.0,1.14,2.615
11.9,3.7,33,25.0,19,SP98,0,0,0,6.0,0.4403,1.01
14.5,4.3,36,25.0,22,SP98,0,0,0,3.0,0.6234999999999999,1.43
16.6,4.1,49,22.0,26,SP98,0,0,1,-4.0,0.6806,1.561
16.2,4.4,39,24.5,17,SP98,1,0,0,7.5,0.7128,1.635
16.7,3.8,44,24.5,23,SP98,0,0,1,1.5,0.6345999999999999,1.456
8.3,5.0,52,24.5,27,SP98,0,0,0,-2.5,0.415,0.952
5.5,3.7,33,24.5,28,SP98,0,0,1,-3.5,0.20350000000000001,0.467
13.6,3.7,33,24.5,28,SP98,0,0,1,-3.5,0.5032,1.154
16.0,3.7,39,24.5,18,SP98,0,0,0,6.5,0.5920000000000001,1.358
16.1,4.3,38,25.0,31,SP98,1,0,0,-6.0,0.6923,1.588
16.0,3.8,45,25.0,19,SP98,0,0,0,6.0,0.608,1.395
15.4,4.6,42,25.0,31,SP98,1,0,0,-6.0,0.7083999999999999,1.625
14.7,5.0,25,25.0,30,SP98,1,0,0,-5.0,0.735,1.686
